"Basin","Subbasin","Date","Year","Month","Avg_rainfall","Agency_name"
"East flowing rivers between Pennar and Kanyakumari Basin","Pamba and others","2022-11-10","2022","11","0.6262562462","NRSC VIC MODEL"
"East flowing rivers between Pennar and Kanyakumari Basin","Pamba and others","2022-11-11","2022","11","4.6882077444","NRSC VIC MODEL"
"East flowing rivers between Pennar and Kanyakumari Basin","Pamba and others","2022-11-12","2022","11","6.165372148","NRSC VIC MODEL"
"East flowing rivers between Pennar and Kanyakumari Basin","Pamba and others","2022-11-13","2022","11","8.6960021194","NRSC VIC MODEL"
"East flowing rivers between Pennar and Kanyakumari Basin","Ponnaiyar and other","2022-11-01","2022","11","1.4735950139","NRSC VIC MODEL"
"East flowing rivers between Pennar and Kanyakumari Basin","Ponnaiyar and other","2022-11-02","2022","11","13.2370127068","NRSC VIC MODEL"
"East flowing rivers between Pennar and Kanyakumari Basin","Ponnaiyar and other","2022-11-03","2022","11","15.4698847955","NRSC VIC MODEL"
"East flowing rivers between Pennar and Kanyakumari Basin","Ponnaiyar and other","2022-11-04","2022","11","7.198370942","NRSC VIC MODEL"
"East flowing rivers between Pennar and Kanyakumari Basin","Ponnaiyar and other","2022-11-05","2022","11","3.2458491639","NRSC VIC MODEL"
"East flowing rivers between Pennar and Kanyakumari Basin","Ponnaiyar and other","2022-11-06","2022","11","4.7364934301","NRSC VIC MODEL"
"East flowing rivers between Pennar and Kanyakumari Basin","Ponnaiyar and other","2022-11-07","2022","11","1.0885978915","NRSC VIC MODEL"
"East flowing rivers between Pennar and Kanyakumari Basin","Ponnaiyar and other","2022-11-08","2022","11","1.137894757","NRSC VIC MODEL"
"East flowing rivers between Pennar and Kanyakumari Basin","Ponnaiyar and other","2022-11-09","2022","11","1.0891233107","NRSC VIC MODEL"
"East flowing rivers between Pennar and Kanyakumari Basin","Ponnaiyar and other","2022-11-10","2022","11","0.544474883","NRSC VIC MODEL"
"East flowing rivers between Pennar and Kanyakumari Basin","Ponnaiyar and other","2022-11-11","2022","11","14.3765618082","NRSC VIC MODEL"
"East flowing rivers between Pennar and Kanyakumari Basin","Ponnaiyar and other","2022-11-12","2022","11","11.502783435","NRSC VIC MODEL"
"East flowing rivers between Pennar and Kanyakumari Basin","Ponnaiyar and other","2022-11-13","2022","11","28.4899491613","NRSC VIC MODEL"
